School Name,School Number,Closed,School Street,School City,School Zip,Grade Low,Grade High,Enrollment,School Accreditations,District Name,District Number,District Enrollment,District Street,District City,District Zip,County Name,County Number,Region Name
Lighthouse Christian Academy,57122001,TRUE,5525 W Illinois Ave,Dallas,75211,Kindergarten,6,0,ACSI : 1990,,,0,,,,Dallas,57,
Lighthouse Learning Center,57670001,FALSE,5525 W Illinois Ave,Dallas,75211,Early Education,Early Education,31,ACSI : 2026,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Little Horizons Academy,57204001,FALSE,2950 North Shiloh Road,Garland,75044,Pre-K,Kindergarten,160,COGNIA : 2024,GARLAND ISD,57909,58059,501 S JUPITER,GARLAND,75042-7108,Dallas,57,10
Mary Immaculate School,57100109,FALSE,14032 Dennis Ln,Farmers Branch,75234,Pre-K,8,514,TCCB ED : 1965,CARROLLTON-FARMERS BRANCH ISD,57903,26385,P O BOX 115186,CARROLLTON,75011-5186,Dallas,57,10
Merryhill School Plano,57207101,TRUE,2121 Bay Hill Dr,Plano,75023,Early Education,Kindergarten,120,COGNIA : 1999,PLANO ISD,43910,55185,2700 W 15TH,PLANO,75075-7524,Dallas,57,10
Mesorah High School for Girls,57194004,FALSE,2101 Waterview Parkway,Richardson,75080,9,12,51,COGNIA : 2005,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
Momentous Institute,57243014,FALSE,106 E. Tenth ST,Dallas,75203,Pre-K,6,194,COGNIA : 1999 | COGNIA : 2014,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Montessori Children's House,221104001,TRUE,3420 Clayton Road E,Ft. Worth,76116,Pre-K,6,0,COGNIA : 2011,FORT WORTH ISD,220905,83503,100 N UNIVERSITY DR,FORT WORTH,76107-3010,Dallas,57,11
Montessori Children's House and School,57435001,FALSE,7335 Abrams Road,Dallas,75231,Early Education,Pre-K,100,COGNIA : 2025,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Mount St. Michael Catholic School,57100138,FALSE,4500 W Davis St,Dallas,75211,Pre-K,8,161,TCCB ED : 1986,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Mt. Hebron Christian Academy,57530001,FALSE,901 Dairy Rd,Garland,75040,Early Education,5,55,ACSI : 2025,GARLAND ISD,57909,58059,501 S JUPITER,GARLAND,75042-7108,Dallas,57,10
New Beginners Preparatory,57410001,FALSE,7441 Marvin D. Love Frwy. Ste. 300,Dallas,75237,9,12,0,TAAPS : 2021,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
North Texas Christian Academy,57161001,TRUE,3201 N. Central Expressway,McKinney,75071,Pre-K,9,110,COGNIA : 2009,MCKINNEY ISD,43907,24443,#1 DUVALL ST,MCKINNEY,75069-3211,Dallas,57,10
Oak Crest Private School,57425001,FALSE,"1200 East Jackson Road, Building 2",Carrollton,75006,Pre-K,8,55,TAAPS : 2023,CARROLLTON-FARMERS BRANCH ISD,57903,26385,P O BOX 115186,CARROLLTON,75011-5186,Dallas,57,10
Oak Hill Academy,57195009,FALSE,9407 Midway,Dallas,75220,Pre-K,8,134,COGNIA : 2006,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Our Lady of Perpetual Help - Dallas,57100111,FALSE,7625 Cortland Ave,Dallas,75235,Pre-K,8,153,TCCB ED : 1965,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Our Redeemer Lutheran School,57156101,FALSE,7611 Park Lane,Dallas,75225,Pre-K,8,229,LSAC : 2004 | LSAC : 2022,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Parish Episcopal School,57192101,FALSE,4101 Sigma Rd,Dallas,75244,Pre-K,12,"1,230",ISAS : 1989 | SAES : 1989 | ISAS : 1999 | ISAS : 2009 | SAES : 2009 | ISAS : 2019,CARROLLTON-FARMERS BRANCH ISD,57903,26385,P O BOX 115186,CARROLLTON,75011-5186,Dallas,57,10
Preston Hollow Presbyterian School,57269001,FALSE,4000 McEwen Road,Dallas,75244,Kindergarten,6,130,COGNIA : 2009,CARROLLTON-FARMERS BRANCH ISD,57903,26385,P O BOX 115186,CARROLLTON,75011-5186,Dallas,57,10
Primrose School at Klyde Warren Park,57630001,FALSE,"1909 Woodall Rogers Fwy, Suite 100",Dallas,75021,Early Education,Pre-K,210,COGNIA : 2023,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Primrose School of Castle Hills,57255025,FALSE,1824 King Arthur Blvd,Carrollton,75010,Early Education,Kindergarten,161,COGNIA : 2005,LEWISVILLE ISD,61902,52528,P O BOX 217,LEWISVILLE,75067-0217,Dallas,57,11
Primrose School of Chase Oaks,57244015,FALSE,6525 Chase Oaks Blvd,Plano,75023,Early Education,Kindergarten,200,COGNIA : 2000,PLANO ISD,43910,55185,2700 W 15TH,PLANO,75075-7524,Dallas,57,10
Primrose School of Coppell,57245016,FALSE,275 E. Parkway Blvd,Coppell,75019,Early Education,Kindergarten,184,COGNIA : 2001,COPPELL ISD,57922,10999,200 S DENTON TAP RD,COPPELL,75019-3205,Dallas,57,10
Primrose School of Dallas at Kessler Park,57605001,FALSE,330 S RL Thornton Fwy,Dallas,75203,Pre-K,Pre-K,100,COGNIA : 2025,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Primrose School of Firewheel,57271001,FALSE,5074 N. George Bush Hwy,Garland,75040,Early Education,Pre-K,117,COGNIA : 2010,GARLAND ISD,57909,58059,501 S JUPITER,GARLAND,75042-7108,Dallas,57,10
Primrose School of Grand Peninsula,57213001,FALSE,2430 Grand Peninsula Dr.,Grand Prairie,75054,Pre-K,Kindergarten,125,COGNIA : 2010,MANSFIELD ISD,220908,32879,605 E BROAD ST,MANSFIELD,76063-1794,Dallas,57,11
Primrose School of Highland Village,57265027,FALSE,2100 Highland Village Rd,Highland Village,75077,Pre-K,Kindergarten,131,COGNIA : 2001,LEWISVILLE ISD,61902,52528,P O BOX 217,LEWISVILLE,75067-0217,Dallas,57,11
Primrose School of Las Colinas,57270001,FALSE,700 Fluor Dr.,Irving,75039,Early Education,Kindergarten,146,COGNIA : 2010,CARROLLTON-FARMERS BRANCH ISD,57903,26385,P O BOX 115186,CARROLLTON,75011-5186,Dallas,57,10
Primrose School of NE Flower Mound,57258028,FALSE,3939 Morriss Road,Flower Mound,75028,Pre-K,Kindergarten,79,COGNIA : 2001,LEWISVILLE ISD,61902,52528,P O BOX 217,LEWISVILLE,75067-0217,Dallas,57,11
Primrose School of North Lewisville,57259029,FALSE,1480 N. Valley Pkwy,Lewisville,75077,Pre-K,Kindergarten,151,COGNIA : 2004,LEWISVILLE ISD,61902,52528,P O BOX 217,LEWISVILLE,75067-0217,Dallas,57,11
Primrose School of North Richardson at Lookout,57640001,FALSE,2425 N. Plano Road,Richardson,75082,Pre-K,Kindergarten,248,COGNIA : 2023,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
Primrose School of Old Orchard,57260030,TRUE,1253 W. Round Grove Rd,Lewisville,75067,Pre-K,Kindergarten,140,COGNIA : 2001,LEWISVILLE ISD,61902,52528,P O BOX 217,LEWISVILLE,75067-0217,Dallas,57,11
Primrose School of Park Cities,57650001,FALSE,4011 Inwood Road,Dallas,75209,Pre-K,Kindergarten,180,COGNIA : 2023,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Primrose School of Plano at Deerfield,57264026,FALSE,4100 Hedgcoxe Rd,Plano,75024,Pre-K,Kindergarten,163,COGNIA : 2001,PLANO ISD,43910,55185,2700 W 15TH,PLANO,75075-7524,Dallas,57,10
Primrose School of Plano at Preston Meadow,57246017,FALSE,5801 Coit Rd,Plano,75093,Pre-K,Kindergarten,134,COGNIA : 1999,PLANO ISD,43910,55185,2700 W 15TH,PLANO,75075-7524,Dallas,57,10
Primrose School of Preston Hollow,57241001,TRUE,10715 Preston Rd,Dallas,75230,Pre-K,Kindergarten,162,COGNIA : 2017,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Primrose School of Prestonwood,57254001,FALSE,15237 Montfort Drive,Dallas,75248,Pre-K,Kindergarten,180,COGNIA : 2013,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Primrose School of Richardson,57225001,FALSE,1100 Jonsson Blvd,Richardson,75080,Pre-K,Pre-K,146,COGNIA : 2018,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
Primrose School of Rockwall,57247018,FALSE,3115 Ridge Road,Rockwall,75032,Pre-K,Kindergarten,176,COGNIA : 2000,ROCKWALL ISD,199901,14486,1050 WILLIAMS,ROCKWALL,75087-3832,Dallas,57,10
Primrose School of Rowlett,57248019,FALSE,8401 Liberty Grove Rd,Rowlett,75089,Pre-K,Kindergarten,170,COGNIA : 2006,GARLAND ISD,57909,58059,501 S JUPITER,GARLAND,75042-7108,Dallas,57,10
Primrose School of Stone Brooke,57249020,FALSE,5651 West Virginia Pkwy,McKinney,75070,Pre-K,Kindergarten,135,COGNIA : 2005,MCKINNEY ISD,43907,24443,#1 DUVALL ST,MCKINNEY,75069-3211,Dallas,57,10
