,OBJECTID,Name,Tuition,Enrollment,PreK,Total,Address,City,State,Zip,County,Latitude,Longitude,GeoScore,GeoAddress,GeoRank,Grades,GlobalID,geometry,Voucher
340,341,ST BERNARD OF CLAIRVAUX SCHOOL,0,177,28,205,1420 OLD GATE LN,DALLAS,TX,75218,DALLAS,32.8256288077,-96.7051480194,100.0,"1420 Old Gate Ln, Dallas, Texas, 75218",20.0,,{B9939FF8-8E32-4CB5-9ECD-AC7B2BE1A761},POINT (-96.7051480194 32.8256288077),1
341,342,ST CHRISTOPHER MONTESSORI,0,35,50,85,7900 LOVERS LN,DALLAS,TX,75225,DALLAS,32.8509925366,-96.7724029612,100.0,"7900 Lovers Ln, Dallas, Texas, 75225",20.0,,{21990E1B-0643-4DCF-89A7-94C9E41C3572},POINT (-96.7724029612 32.8509925366),1
342,343,ST JAMES EPISCOPAL SCHOOL OF DALLAS,0,17,180,197,9845 MCCREE RD,DALLAS,TX,75238,DALLAS,32.8716147844,-96.7162920706,100.0,"9845 McCree Rd, Dallas, Texas, 75238",20.0,,{68E8F0B9-78EF-415B-974B-1AFCA7A43FFF},POINT (-96.7162920706 32.8716147844),1
346,347,ST JOSEPH CATHOLIC SCHOOL,0,275,0,275,600 S JUPITER RD,RICHARDSON,TX,75081,DALLAS,32.9393590023,-96.6829574931,100.0,"600 S Jupiter Rd, Richardson, Texas, 75081",20.0,,{4A233C30-DEA4-4929-86AB-DB1594DF78B9},POINT (-96.6829574931 32.9393590023),1
347,348,ST MARY OF CARMEL SCHOOL,0,146,25,171,1716 SINGLETON BLVD,DALLAS,TX,75212,DALLAS,32.7784925526,-96.8469459921,100.0,"1716 Singleton Blvd, Dallas, Texas, 75212",20.0,,{187387EE-B5D8-47BD-82D6-1EB064594F95},POINT (-96.8469459921 32.7784925526),1
348,349,ST PATRICK CATHOLIC SCHOOL,10690,425,58,502,9635 FERNDALE RD,DALLAS,TX,75238,DALLAS,32.8780245515,-96.7085384748,100.0,"9635 Ferndale Rd, Dallas, Texas, 75238",20.0,Pre-K-8,{03C61277-4F63-4EAC-A75B-B1EA8944C2A6},POINT (-96.7085384748 32.8780245515),1
349,350,ST PHILIP & ST. AUGUSTINE CATHOLIC,0,271,47,318,8151 MILITARY PKWY,DALLAS,TX,75227,DALLAS,32.7691961838,-96.6801609549,100.0,"8151 Military Pkwy, Dallas, Texas, 75227",20.0,,{68762B7B-976E-4739-AAAF-38B76E0F1970},POINT (-96.6801609549 32.7691961838),1
350,351,ST MONICA CATHOLIC SCHOOL,7735,757,51,784,4140 WALNUT HILL LN,DALLAS,TX,75229,DALLAS,32.8802200234,-96.8403784357,100.0,"4140 Walnut Hill Ln, Dallas, Texas, 75229",20.0,Pre-K-8,{44CD8710-4FF9-4A15-806A-A1C38CE3F603},POINT (-96.8403784357 32.8802200234),1
353,354,ST THOMAS AQUINAS CATHOLIC SCHOOL,9800,782,68,828,3741 ABRAMS RD,DALLAS,TX,75214,DALLAS,32.8321748706,-96.7529391762,100.0,"3741 Abrams Rd, Dallas, Texas, 75214",20.0,Pre-K-8,{5A0BD9CE-5883-43EA-9F52-CAAB3F1F7D40},POINT (-96.7529391762 32.8321748706),1
354,355,ST PIUS X CATHOLIC SCHOOL,0,329,41,370,3030 GUS THOMASSON RD,DALLAS,TX,75228,DALLAS,32.8347124918,-96.6644660089,100.0,"3030 Gus Thomasson Rd, Dallas, Texas, 75228",20.0,,{9D6E8EEC-9FFF-4462-9B7F-4C92DB6F5126},POINT (-96.6644660089 32.8347124918),1
